Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
47QFLA25F0062,7/8/2025 0:00,SERCO INC,1891441,TO1 BRIDGE TECHNICAL AND MANAGEMENT EXPERTISE WAGWP,47QFLA25Q0065,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,TIME AND MATERIALS,,AFLCMC HIQB DEAMS,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,541611 ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,7/15/2025 0:00,2/14/2026 0:00,7/8/2025,CONT_AWD_47QFLA25F0062_4732_GS00F193CA_4732,7/8/2025 0:00,47QFLA
FA823225CB001,3/17/2025,LOCKHEED MARTIN CORPORATION,53192056,ARGENTINA F-16 M6 OFP UPDATE,FA823225RB008,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F2DCBF AFLCMC WAM F16 FMS,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,541519 OTHER COMPUTER RELATED SERVICES,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,3/17/2025,5/17/2032,3/20/2025,CONT_AWD_FA823225CB001_9700_-NONE-_-NONE-,3/17/2025,FA8232
FA862925FB003,10/2/2024,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",35474.79,THE CONTRACTOR SHALL PROVIDE TWENTY (20) SEAT CUSHION MODIFICATION KITS FABRICATED TO THE DRAWING PACKAGE PROVIDED BY THE RDIF.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDHC AFLCMC WIS RDIF,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,10/9/2024,10/31/2025,10/2/2024,CONT_AWD_FA862925FB003_9700_FA862920D5020_9700,10/2/2024,FA8629
FA862925FB004,1/22/2025,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",129887.4,THE CONTRACTOR SHALL PROVIDE SIX (6) BLOCK FORTY AESA RADAR BRACKET MK5 KITS FABRICATED TO THE DRAWING PACKAGE PROVIDED BY THE RDIF.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDHC AFLCMC WIS RDIF,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,1/22/2025,1/30/2026,1/22/2025,CONT_AWD_FA862925FB004_9700_FA862920D5020_9700,1/22/2025,FA8629
FA862925FB005,11/18/2024,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",164279.02,"THE CONTRACTOR SHALL DEVELOP, PROCURE COMPONENTS, DELIVER, AND INSTALL QTY (1) ELECTRO-OPTICAL INFRARED (EOIR) AMPLIFIER SPLITTER (PN: 12940-300) AND VIDEO ENCODER (PN: S-MX1E-R-V2-28V-SDI1-ISR) KIT FOR THE HC-130J PROGRAM OFFICE",,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDHB AFLCMC WIS,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,10/31/2024,6/30/2026,3/25/2025,CONT_AWD_FA862925FB005_9700_FA862920D5020_9700,11/18/2024,FA8629
FA862925FB007,1/22/2025,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",141842.42,THE CONTRACTOR SHALL PROVIDE SEVEN (7) BLOCK THIRTY AESA NGREA RADAR BRACKET KITS FABRICATED TO THE DRAWING PACKAGE PROVIDED BY THE RDIF.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDHC AFLCMC WIS RDIF,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,1/22/2025,1/30/2026,1/27/2025,CONT_AWD_FA862925FB007_9700_FA862920D5020_9700,1/22/2025,FA8629
FA862925FB008,12/11/2024,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",308712.4,THE CONTRACTOR SHALL PROVIDE TWENTY (20) KC-46 WARP ADAPTERS FABRICATED TO THE DRAWING PACKAGE PROVIDED BY THE RDIF.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDWK AFLCMC WLC,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,12/18/2024,10/31/2025,12/11/2024,CONT_AWD_FA862925FB008_9700_FA862920D5020_9700,12/11/2024,FA8629
FA862925FB010,11/20/2024,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",139242.96,FABRICATE TWENTY-FOUR (24) KY-75 EQUIPMENT RACKS FABRICATED TO THE DRAWING PACKAGE PROVIDED BY THE RDIF.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDCT AFLCMC WLN J,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,11/20/2024,12/31/2025,11/20/2024,CONT_AWD_FA862925FB010_9700_FA862920D5020_9700,11/20/2024,FA8629
FA862925FB032,4/22/2025,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",45905.65,"THE CONTRACTOR SHALL PACKAGE, CRATE AND SHIP SEVEN (7) MC-130J LAIRCM BLOCK 30 GROUP A AND B KITS IAW THE TIME COMPLIANCE TECHNICAL ORDER (TCTO) AND KIT PACKING LIST",,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDHC AFLCMC WIS RDIF,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,4/18/2025,5/31/2026,4/22/2025,CONT_AWD_FA862925FB032_9700_FA862920D5020_9700,4/22/2025,FA8629
FA862925FB035,4/22/2025,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",58497.7,THE CONTRACTOR SHALL PROVIDE SEVEN (7) C-130J DYNAMIC RE-TASKING CAPABILITY (DRC) DE-CONFLICTION KITS,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDCT AFLCMC WLN J,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,4/21/2025,3/31/2026,4/22/2025,CONT_AWD_FA862925FB035_9700_FA862920D5020_9700,4/22/2025,FA8629
