Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
1240BG23P0055,2023-07-18,OTT HYDROMET CORP,6823.1,DENVER URBAN FIELD STATION TOWER RADIOMETER FOR FLUX STUDIES,51,-703,Ended,1240BG23B0001,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,ROCKY MTN RESEARCH STATION,"5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",334519 OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-08-10,2023-09-30,2023-11-21,CONT_AWD_1240BG23P0055_12C2_-NONE-_-NONE-,2023-07-18,1240BG
127EAT23P0032,2023-09-08,ATG LLC,36033.51,CEL-FI QUATRA 1000 HYBRID ACTIVE DISTRIBUTED ANTENNA SYSTEM (DAS) FOR BOOSTING OFF-THE-AIR CELLULAR RADIO FREQUENCIES (RF) OF TWO CELL CARRIERS VERIZON AND FIRSTNET,30,-695,Ended,127EAT23Q0030,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,"PACIFIC SOUTHWEST REGION, REGION 5","5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",334220 RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-09-08,2023-10-08,2023-11-07,CONT_AWD_127EAT23P0032_12C2_-NONE-_-NONE-,2023-09-08,127EAT
127EAT23P0038,2023-09-15,"STAIRCASE 3, INC.",31000.0,CCEL-FI FIBER RANGE EXTENDER Q1000 (NU-SIDE AND CU-SIDE) FOR THE VERIZON AND FIRSTNET NETWORKS LOCATED AT THE SOUTHERN GEOGRAPHIC AREA COORDINATION CENTER (OSCC),164,-554,Ended,127EAT23Q0030,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,4,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,"PACIFIC SOUTHWEST REGION, REGION 5","5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",334220 RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-09-15,2024-02-26,2024-02-13,CONT_AWD_127EAT23P0038_12C2_-NONE-_-NONE-,2023-09-15,127EAT
12FPC323P0059,2023-07-05,BEADEDSTREAM INC.,248300.0,TEMPERATURE CABLES NEEDED FOR SSWSF PROGRAM SUPER SITE INITIATIVE TO MEASURE SNOW TEMPERATURE,114,-676,Ended,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NRCS-OR STATE OFFICE,"5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT","334513 INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",Department of Agriculture,Natural Resources Conservation Service,PURCHASE ORDER,2023-07-05,2023-10-27,2023-11-28,CONT_AWD_12FPC323P0059_12D0_-NONE-_-NONE-,2023-07-05,12FPC3
140A2323P0837,2023-09-15,CAMNET INC,14967.22,INSTALL WIRELESS ACCESS POINT & CAMERAS,107,-611,Ended,140A2323Q0645,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,INDIAN EDUCATION ACQUISITION OFFICE,"5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",541512 COMPUTER SYSTEMS DESIGN SERVICES,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,PURCHASE ORDER,2023-09-15,2023-12-31,2024-04-30,CONT_AWD_140A2323P0837_1450_-NONE-_-NONE-,2023-09-15,140A23
140P3023P0131,2023-09-20,"VIRGINIA ENERGY AND LIGHTING, LLC",16993.5,HAFE - BLDG 33 IT CABLING INSTALLATION,193,-520,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,NO SET ASIDE USED.,NCR REGIONAL CONTRACTING(30000),"5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",221122 ELECTRIC POWER DISTRIBUTION,Department of the Interior,National Park Service,PURCHASE ORDER,2023-09-20,2024-03-31,2023-10-02,CONT_AWD_140P3023P0131_1443_-NONE-_-NONE-,2023-09-20,140P30
140R4023P0074,2023-09-20,WISECOM TECHNOLOGIES INC,186480.0,CABLE PARTIAL DISCHARGE MONITORING SYSTEM,56,-657,Ended,140R4023Q0071,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,UPPER COLORADO REGIONAL OFFICE,"5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",334519 OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,Department of the Interior,Bureau of Reclamation,PURCHASE ORDER,2023-09-20,2023-11-15,2024-09-16,CONT_AWD_140R4023P0074_1425_-NONE-_-NONE-,2023-09-20,140R40
15A00023PAQA00246,2023-07-18,"DTC COMMUNICATIONS, INC.",21320.0,BODY WORN EQUIPMENT,152,-611,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,"ATF, ASST DIRECTOR EPS","5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",334118 COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",PURCHASE ORDER,2023-08-01,2023-12-31,2023-07-18,CONT_AWD_15A00023PAQA00246_1560_-NONE-_-NONE-,2023-07-18,15A000
15A00023PAQA00275,2023-08-14,"RCN TELECOM SERVICES, LLC",5942.21,CABLE SERVICE AND EQUIPMENT.,365,-367,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,ATF,"5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",517111 WIRED TELECOMMUNICATIONS CARRIERS,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",PURCHASE ORDER,2023-09-01,2024-08-31,2025-01-14,CONT_AWD_15A00023PAQA00275_1560_-NONE-_-NONE-,2023-08-14,15A000
15A00023PAQA00281,2023-08-21,CHARTER COMMUNICATIONS OPERATING LLC,48440.88,"CHARTER VIDEO, INTERNET AND PHONE SERVICES AND EQUIPMENT FOR THE BUREAU OF ALCOHOL, TOBACCO, FIREARMS EXPLOSIVES, KANSAS CITY FIELD DIVISION.",365,-367,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,"ATF, ASST DIRECTOR FIELD OPER","5995 CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT",517111 WIRED TELECOMMUNICATIONS CARRIERS,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",PURCHASE ORDER,2023-09-01,2024-08-31,2023-08-21,CONT_AWD_15A00023PAQA00281_1560_-NONE-_-NONE-,2023-08-21,15A000
