Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
1202RZ23K6189,2023-09-27,"TRUENORTH STEEL, INC",36716.84,2022 MOOSE LANDSLIDE ID-SCF-023128 S-5 -- S-13 METAL PIPE,0,-706,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,NO SET ASIDE USED.,Salmon and Challis National Forests,"4710 PIPE, TUBE AND RIGID TUBING","237310 HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",Department of Agriculture,Forest Service,PURCHASE ORDER,2023-09-27,2023-09-27,2023-11-14,CONT_AWD_1202RZ23K6189_12C2_-NONE-_-NONE-,2023-09-27,1202RZ
12034323K6141,2023-09-29,CONTECH ENGINEERED SOLUTIONS LLC,12942.8,CULVERT FOR HAPPY CAMP COMPLEX INCIDENT,0,-704,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,Klamath National Forest,"4710 PIPE, TUBE AND RIGID TUBING",332313 PLATE WORK MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-09-29,2023-09-29,2023-10-02,CONT_AWD_12034323K6141_12C2_-NONE-_-NONE-,2023-09-29,120343
12034323K6146,2023-09-29,CONTECH ENGINEERED SOLUTIONS LLC,26370.13,CULVERTS,151,-553,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,Klamath National Forest,"4710 PIPE, TUBE AND RIGID TUBING",332313 PLATE WORK MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-09-29,2024-02-27,2024-03-07,CONT_AWD_12034323K6146_12C2_-NONE-_-NONE-,2023-09-29,120343
12363N23P4015,2023-03-29,MILLER PRODUCTS & SUPPLY CO,127270.7,Z1 - CNF - CON CMRD0123/NFXF0322 (0901)/SSCC - FOREST WIDE CULVERT ORDER,45,-845,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,7,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,CHEQUAMEGON-NICOLET NATIONAL FOREST,"4710 PIPE, TUBE AND RIGID TUBING",332312 FABRICATED STRUCTURAL METAL MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-03-27,2023-05-11,2023-05-15,CONT_AWD_12363N23P4015_12C2_-NONE-_-NONE-,2023-03-29,12363N
12363N23P4033,2023-05-17,FORSTAT INC,63737.6,VEXAR AND BAMBOO PURCHASE WITH DELIVERY TO THREE RIVERS RANGER DISTRICT AND THE KSANKA RANGER DISTRICT,34,-805,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,KOOTENAI NATIONAL FOREST,"4710 PIPE, TUBE AND RIGID TUBING",115310 SUPPORT ACTIVITIES FOR FORESTRY,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-05-17,2023-06-20,2023-11-07,CONT_AWD_12363N23P4033_12C2_-NONE-_-NONE-,2023-05-17,12363N
12405B23P0423,2023-09-08,MID ATLANTIC IRRIGATION CO INC,100625.0,IRRIGATION PIPES,53,-672,Ended,12405B23Q0513,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,USDA ARS SEA PSR,"4710 PIPE, TUBE AND RIGID TUBING",333111 FARM MACHINERY AND EQUIPMENT MANUFACTURING,Department of Agriculture,Agricultural Research Service,PURCHASE ORDER,2023-09-08,2023-10-31,2024-03-22,CONT_AWD_12405B23P0423_12H2_-NONE-_-NONE-,2023-09-08,12405B
1240LS23C0005,2023-08-07,TIMOTHY E. PATRICK,63380.0,GAOA LEIDY PEAK RD CULVERT REPLACEMENT 4CD,63,-694,Ended,1240LS23Q0101,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,3,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,ASHLEY NATIONAL FOREST,"4710 PIPE, TUBE AND RIGID TUBING",327332 CONCRETE PIPE MANUFACTURING,Department of Agriculture,Forest Service,DEFINITIVE CONTRACT,2023-08-07,2023-10-09,2024-06-07,CONT_AWD_1240LS23C0005_12C2_-NONE-_-NONE-,2023-08-07,1240LS
1240LS23P0086,2023-07-12,AANTILIA LLC,66806.68,"MANTI-LA SAL CULVERTS 2023 -CULVERTS, BANDS AND BOLTS",47,-736,Ended,1240LS23Q0106,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,10,FIRM FIXED PRICE,NO SET ASIDE USED.,Manti-Lasal National Forest,"4710 PIPE, TUBE AND RIGID TUBING",331210 IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-07-12,2023-08-28,2023-08-17,CONT_AWD_1240LS23P0086_12C2_-NONE-_-NONE-,2023-07-12,1240LS
12444323P0052,2023-05-10,"LANE ENTERPRISES, LLC",45792.32,ALLEGHENY NATIONAL FOREST CORRUGATED METAL PIPE SUPPLY ORDER,61,-785,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,ALLEGHENY NATIONAL FOREST,"4710 PIPE, TUBE AND RIGID TUBING",331210 IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-05-10,2023-07-10,2023-08-09,CONT_AWD_12444323P0052_12C2_-NONE-_-NONE-,2023-05-10,124443
12444623P0099,2023-07-19,TWIN PINES CONSTRUCTION INC.,45030.05,"SUPPLY, DELIVER AND UNLOAD CULVERTS/CULVERT BANDS AT DESIGNATED STORAGE AREAS.",30,-767,Ended,12444623Q0048,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,NO SET ASIDE USED.,SUPERIOR NATIONAL FOREST,"4710 PIPE, TUBE AND RIGID TUBING",327332 CONCRETE PIPE MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-06-28,2023-07-28,2024-01-30,CONT_AWD_12444623P0099_12C2_-NONE-_-NONE-,2023-07-19,124446
12444623P0131,2023-08-31,B & H INTERNATIONAL LLC,34157.04,"CULVERTS, OTTAWA NATIONAL FOREST",42,-691,Ended,12444623Q0077,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,6,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,OTTAWA NATIONAL FOREST,"4710 PIPE, TUBE AND RIGID TUBING",332312 FABRICATED STRUCTURAL METAL MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-08-31,2023-10-12,2023-11-16,CONT_AWD_12444623P0131_12C2_-NONE-_-NONE-,2023-08-31,124446
127EAU23P0030,2023-05-04,"NOLAND TOUGH FENCE, LLC",112131.81,PIPING AND FENCING FOR BUSH CORRALS,43,-809,Ended,127EAU23Q0030,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,7,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,Tonto National Forest,"4710 PIPE, TUBE AND RIGID TUBING",331210 IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-05-04,2023-06-16,2023-10-16,CONT_AWD_127EAU23P0030_12C2_-NONE-_-NONE-,2023-05-04,127EAU
127EAV23P0053,2023-07-31,"PACIFIC CORRUGATED PIPE COMPANY, LLC",15243.7,CIBOLA NATIONAL FOREST AND NATIONAL GRASSLANDS CULVERT SUPPLY CONTRACT,335,-422,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,"Southwestern Regional Office, Region 3","4710 PIPE, TUBE AND RIGID TUBING",331210 IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,Department of Agriculture,Forest Service,PURCHASE ORDER,2023-08-07,2024-07-07,2024-10-05,CONT_AWD_127EAV23P0053_12C2_-NONE-_-NONE-,2023-07-31,127EAV
